besouro: .word 64, 16
.byte 0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0x50,0,0x50,0x50,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,
0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0,0x50,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,0,0x50,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0x50,0,0x50,0x50,0,0x50,0x50,0x50,
0x50,0x50,0x50,0x50,0x50,0,0x50,0x50,0x50,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,0,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,207,0,0,0,207,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0,0x50,0,0x50,0x50,0x50,0x50,
0x50,0x50,0x50,0x50,0x50,0x50,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,207,207,207,207,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0,0,207,207,207,0,207,207,207,0,0,0x50,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,0,0,0,0,0x50,0x50,0x50,
0x50,0x50,0x50,0x50,0x50,0x50,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,207,207,207,207,207,207,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,207,207,207,207,0,207,207,207,207,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,207,207,207,207,0,0,0x50,0x50,
0x50,0x50,0x50,0x50,0,0,0,207,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0,207,207,207,207,207,207,207,207,0,0x50,0x50,0,0x50,0x50,0x50,0x50,0x50,0,207,207,207,207,0,207,207,207,207,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,207,207,207,207,207,207,0,0,0x50,
0,0x50,0x50,0,0,207,207,207,207,207,0,0,0x50,0x50,0,0x50,0x50,0,0,207,207,207,207,207,207,207,0,0,0,0x50,0,0x50,0x50,0,0,0,207,207,207,207,0,207,207,207,207,0,0,0,0x50,0x50,0,0x50,0x50,0,207,207,207,207,207,207,207,207,0,0x50,
0x50,0,0,0,207,207,207,207,207,207,207,0,0,0,0x50,0x50,0x50,0x50,0,0,0,0,0,0,207,207,207,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0,207,207,207,207,0,207,207,207,207,0,0x50,0x50,0x50,0,0x50,0,0,0,207,207,207,207,207,207,207,0,0,0x50,
0x50,0x50,0,207,207,207,207,0,207,207,207,207,0,0x50,0x50,0x50,0x50,0,0,207,207,207,207,207,207,207,0,0,0,0x50,0,0x50,0x50,0x50,0,0,0,207,207,207,207,207,207,207,0,0,0,0x50,0x50,0x50,0x50,0,0,207,207,207,0,0,0,0,0,0,0x50,0x50,
0,0,0,207,207,207,207,0,207,207,207,207,0,0,0,0x50,0x50,0,207,207,207,207,207,207,207,207,0,0x50,0x50,0,0x50,0x50,0x50,0,0x50,0x50,0,0,207,207,207,207,207,0,0,0x50,0x50,0,0x50,0,0x50,0,0,0,207,207,207,207,207,207,207,0,0,0x50,
0x50,0x50,0,207,207,207,207,0,207,207,207,207,0,0x50,0x50,0x50,0x50,0,0,207,207,207,207,207,207,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,0,207,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0x50,0,207,207,207,207,207,207,207,207,0,0x50,
0x50,0,0,207,207,207,207,0,207,207,207,207,0,0,0x50,0x50,0x50,0x50,0,0,207,207,207,207,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,207,207,207,207,207,207,0,0,0x50,
0,0x50,0,0,207,207,207,0,207,207,207,0,0,0x50,0,0x50,0x50,0x50,0x50,0,0,0,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,207,207,207,207,0,0,0x50,0x50,
0x50,0x50,0x50,0,0,207,0,0,0,207,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0,0x50,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0x50,0x50,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0,0,0,0,0,0x50,0x50,0x50,
0x50,0x50,0x50,0x50,0,0,0,0x50,0,0,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0x50,0,0x50,0x50,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0,0x50,0,0x50,0x50,0x50,0x50,
0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0x50,0,0x50,0x50,0,0x50,0x50,0,0x50,0x50,0x50,


